month,collection_20_21,collection_19_20,collection_18_19,state
April,NA,NA,NA,Andhra Pradesh[edit]
May,NA,NA,NA,Andhra Pradesh[edit]
June,2367,2232,NA,Andhra Pradesh[edit]
July,3138,3138,NA,Andhra Pradesh[edit]
August,1955,2115,NA,Andhra Pradesh[edit]
September,2141,1985,NA,Andhra Pradesh[edit]
October,2480,1975,NA,Andhra Pradesh[edit]
November,2507,2230,NA,Andhra Pradesh[edit]
December,2581,2265,2049,Andhra Pradesh[edit]
January,NA,2356,2159,Andhra Pradesh[edit]
February,2652.57,2563,2088,Andhra Pradesh[edit]
March,2685.09,2548,2589,Andhra Pradesh[edit]
April,NA,NA,NA,Arunachal Pradesh[edit]
May,NA,NA,NA,Arunachal Pradesh[edit]
June,49,48,NA,Arunachal Pradesh[edit]
July,33,49,NA,Arunachal Pradesh[edit]
August,35,45,NA,Arunachal Pradesh[edit]
September,35,44,NA,Arunachal Pradesh[edit]
October,98,41,NA,Arunachal Pradesh[edit]
November,60,36,NA,Arunachal Pradesh[edit]
December,46,58,26,Arunachal Pradesh[edit]
January,NA,52,38,Arunachal Pradesh[edit]
February,61.36,48,32,Arunachal Pradesh[edit]
March,92.03,67,85,Arunachal Pradesh[edit]
April,NA,NA,NA,Assam[edit]
May,NA,NA,NA,Assam[edit]
June,966,798,NA,Assam[edit]
July,723,795,NA,Assam[edit]
August,709,768,NA,Assam[edit]
September,912,848,NA,Assam[edit]
October,1017,888,NA,Assam[edit]
November,946,968,NA,Assam[edit]
December,984,991,743,Assam[edit]
January,NA,820,787,Assam[edit]
February,945.8399999999999,924,736,Assam[edit]
March,1004.65,932,956,Assam[edit]
April,NA,NA,NA,Bihar[edit]
May,NA,NA,NA,Bihar[edit]
June,1162,1003,NA,Bihar[edit]
July,1061,1160,NA,Bihar[edit]
August,967,981,NA,Bihar[edit]
September,996,986,NA,Bihar[edit]
October,1010,940,NA,Bihar[edit]
November,970,1107,NA,Bihar[edit]
December,1067,1016,909,Bihar[edit]
January,NA,1122,1039,Bihar[edit]
February,1127.99,1121,961,Bihar[edit]
March,1195.75,1056,1177,Bihar[edit]
April,NA,NA,NA,Chhattisgarh[edit]
May,NA,NA,NA,Chhattisgarh[edit]
June,2549,2093,NA,Chhattisgarh[edit]
July,1832,2002,NA,Chhattisgarh[edit]
August,1994,1873,NA,Chhattisgarh[edit]
September,1841,1490,NA,Chhattisgarh[edit]
October,1974,1570,NA,Chhattisgarh[edit]
November,2181,2176,NA,Chhattisgarh[edit]
December,2349,2136,1852,Chhattisgarh[edit]
January,NA,2155,2064,Chhattisgarh[edit]
February,2453.1,2274,2068,Chhattisgarh[edit]
March,2544.13,2093,2143,Chhattisgarh[edit]
April,NA,NA,NA,Goa[edit]
May,NA,NA,NA,Goa[edit]
June,324,338,NA,Goa[edit]
July,257,361,NA,Goa[edit]
August,213,325,NA,Goa[edit]
September,240,311,NA,Goa[edit]
October,310,311,NA,Goa[edit]
November,300,342,NA,Goa[edit]
December,342,363,342,Goa[edit]
January,NA,437,394,Goa[edit]
February,343.8,411,401,Goa[edit]
March,344.28,316,389,Goa[edit]
April,NA,NA,NA,Gujarat[edit]
May,NA,NA,NA,Gujarat[edit]
June,6025,6424,NA,Gujarat[edit]
July,5621,6411,NA,Gujarat[edit]
August,6030,6185,NA,Gujarat[edit]
September,6090,5741,NA,Gujarat[edit]
October,6787,5888,NA,Gujarat[edit]
November,7566,6805,NA,Gujarat[edit]
December,7469,6621,5619,Gujarat[edit]
January,NA,7330,6185,Gujarat[edit]
February,8221.230000000001,7216,6507,Gujarat[edit]
March,8197.04,6820,6521,Gujarat[edit]
April,NA,NA,NA,Haryana[edit]
May,NA,NA,NA,Haryana[edit]
June,3697,4889,NA,Haryana[edit]
July,3483,4617,NA,Haryana[edit]
August,4373,4474,NA,Haryana[edit]
September,4712,4110,NA,Haryana[edit]
October,5433,4578,NA,Haryana[edit]
November,5928,5904,NA,Haryana[edit]
December,5747,5365,4646,Haryana[edit]
January,NA,5487,4815,Haryana[edit]
February,5589.81,5266,4873,Haryana[edit]
March,5709.6,4874,4561,Haryana[edit]
April,NA,NA,NA,Himachal Pradesh[edit]
May,NA,NA,NA,Himachal Pradesh[edit]
June,619,697,NA,Himachal Pradesh[edit]
July,605,677,NA,Himachal Pradesh[edit]
August,597,676,NA,Himachal Pradesh[edit]
September,653,609,NA,Himachal Pradesh[edit]
October,691,669,NA,Himachal Pradesh[edit]
November,758,701,NA,Himachal Pradesh[edit]
December,670,699,595,Himachal Pradesh[edit]
January,NA,675,647,Himachal Pradesh[edit]
February,663.12,621,610,Himachal Pradesh[edit]
March,686.88,596,660,Himachal Pradesh[edit]
April,NA,NA,NA,Jharkhand[edit]
May,NA,NA,NA,Jharkhand[edit]
June,1643,1811,NA,Jharkhand[edit]
July,1340,1855,NA,Jharkhand[edit]
August,1498,1770,NA,Jharkhand[edit]
September,1656,1509,NA,Jharkhand[edit]
October,1771,1437,NA,Jharkhand[edit]
November,1907,1720,NA,Jharkhand[edit]
December,2150,1943,1995,Jharkhand[edit]
January,NA,2027,1965,Jharkhand[edit]
February,2321.03,2071,2121,Jharkhand[edit]
March,2416.13,2049,2149,Jharkhand[edit]
April,NA,NA,NA,Karnataka[edit]
May,NA,NA,NA,Karnataka[edit]
June,6710,6659,NA,Karnataka[edit]
July,6014,7088,NA,Karnataka[edit]
August,5502,6201,NA,Karnataka[edit]
September,6050,6350,NA,Karnataka[edit]
October,6998,6675,NA,Karnataka[edit]
November,6915,6972,NA,Karnataka[edit]
December,7459,6886,6209,Karnataka[edit]
January,NA,7605,7329,Karnataka[edit]
February,7581.45,7414,6453,Karnataka[edit]
March,7914.98,7144,6983,Karnataka[edit]
April,NA,NA,NA,Kerala[edit]
May,NA,NA,NA,Kerala[edit]
June,1530,1568,NA,Kerala[edit]
July,1318,1512,NA,Kerala[edit]
August,1229,1582,NA,Kerala[edit]
September,1552,1393,NA,Kerala[edit]
October,1665,1549,NA,Kerala[edit]
November,1568,1691,NA,Kerala[edit]
December,1776,1651,1416,Kerala[edit]
January,NA,1859,1594,Kerala[edit]
February,1806.1,1754,1416,Kerala[edit]
March,1827.94,1475,1635,Kerala[edit]
April,NA,NA,NA,Madhya Pradesh[edit]
May,NA,NA,NA,Madhya Pradesh[edit]
June,2742,2212,NA,Madhya Pradesh[edit]
July,2289,2282,NA,Madhya Pradesh[edit]
August,2209,2255,NA,Madhya Pradesh[edit]
September,2176,2087,NA,Madhya Pradesh[edit]
October,2403,2053,NA,Madhya Pradesh[edit]
November,2493,2453,NA,Madhya Pradesh[edit]
December,2615,2434,2094,Madhya Pradesh[edit]
January,NA,2674,2414,Madhya Pradesh[edit]
February,2791.57,2621,2291,Madhya Pradesh[edit]
March,2728.4900000000002,2407,2624,Madhya Pradesh[edit]
April,NA,NA,NA,Maharashtra[edit]
May,NA,NA,NA,Maharashtra[edit]
June,14987,15143,NA,Maharashtra[edit]
July,12508,15102,NA,Maharashtra[edit]
August,11602,13407,NA,Maharashtra[edit]
September,13546,13579,NA,Maharashtra[edit]
October,15799,15109,NA,Maharashtra[edit]
November,15001,15968,NA,Maharashtra[edit]
December,17699,16530,13524,Maharashtra[edit]
January,NA,18085,15151,Maharashtra[edit]
February,16103.5,15735,14092,Maharashtra[edit]
March,17038.49,15002,15596,Maharashtra[edit]
April,NA,NA,NA,Manipur[edit]
May,NA,NA,NA,Manipur[edit]
June,29,25,NA,Manipur[edit]
July,25,34,NA,Manipur[edit]
August,26,37,NA,Manipur[edit]
September,34,42,NA,Manipur[edit]
October,43,43,NA,Manipur[edit]
November,32,35,NA,Manipur[edit]
December,41,44,27,Manipur[edit]
January,NA,35,24,Manipur[edit]
February,32.339999999999996,37,21,Manipur[edit]
March,50.36,36,46,Manipur[edit]
April,NA,NA,NA,Meghalaya[edit]
May,NA,NA,NA,Meghalaya[edit]
June,116,124,NA,Meghalaya[edit]
July,120,104,NA,Meghalaya[edit]
August,108,117,NA,Meghalaya[edit]
September,100,106,NA,Meghalaya[edit]
October,117,113,NA,Meghalaya[edit]
November,120,117,NA,Meghalaya[edit]
December,106,123,108,Meghalaya[edit]
January,NA,128,104,Meghalaya[edit]
February,146.5,157,129,Meghalaya[edit]
March,151.97,133,127,Meghalaya[edit]
April,NA,NA,NA,Mizoram[edit]
May,NA,NA,NA,Mizoram[edit]
June,24,24,NA,Mizoram[edit]
July,16,19,NA,Mizoram[edit]
August,12,28,NA,Mizoram[edit]
September,17,29,NA,Mizoram[edit]
October,32,18,NA,Mizoram[edit]
November,17,17,NA,Mizoram[edit]
December,25,21,13,Mizoram[edit]
January,NA,24,26,Mizoram[edit]
February,21.06,25,22,Mizoram[edit]
March,34.93,33,50,Mizoram[edit]
April,NA,NA,NA,Nagaland[edit]
May,NA,NA,NA,Nagaland[edit]
June,32,20,NA,Nagaland[edit]
July,25,23,NA,Nagaland[edit]
August,31,27,NA,Nagaland[edit]
September,29,21,NA,Nagaland[edit]
October,30,25,NA,Nagaland[edit]
November,30,23,NA,Nagaland[edit]
December,38,31,17,Nagaland[edit]
January,NA,32,17,Nagaland[edit]
February,34.83,25,20,Nagaland[edit]
March,45.48,39,46,Nagaland[edit]
April,NA,NA,NA,Odisha[edit]
May,NA,NA,NA,Odisha[edit]
June,2694,2923,NA,Odisha[edit]
July,2348,2494,NA,Odisha[edit]
August,2348,2497,NA,Odisha[edit]
September,2384,2015,NA,Odisha[edit]
October,2419,1994,NA,Odisha[edit]
November,2528,2347,NA,Odisha[edit]
December,2860,2383,2347,Odisha[edit]
January,NA,2504,2338,Odisha[edit]
February,3340.57,2790.16,2374,Odisha[edit]
March,3285.29,2633,2626,Odisha[edit]
April,NA,NA,NA,Punjab[edit]
May,NA,NA,NA,Punjab[edit]
June,1323,1248,NA,Punjab[edit]
July,1188,1271,NA,Punjab[edit]
August,1139,1255,NA,Punjab[edit]
September,1194,1133,NA,Punjab[edit]
October,1376,1189,NA,Punjab[edit]
November,1396,1375,NA,Punjab[edit]
December,1353,1290,1162,Punjab[edit]
January,NA,1340,1216,Punjab[edit]
February,1299.37,1229,1100,Punjab[edit]
March,1361.85,1181,1166,Punjab[edit]
April,NA,NA,NA,Rajasthan[edit]
May,NA,NA,NA,Rajasthan[edit]
June,2774,2683,NA,Rajasthan[edit]
July,2797,2699,NA,Rajasthan[edit]
August,2582,2550,NA,Rajasthan[edit]
September,2647,2253,NA,Rajasthan[edit]
October,2966,2425,NA,Rajasthan[edit]
November,3130,3071,NA,Rajasthan[edit]
December,3135,2713,2456,Rajasthan[edit]
January,NA,3030,2776,Rajasthan[edit]
February,3223.7,2932,2676,Rajasthan[edit]
March,3351.79,2820,3132,Rajasthan[edit]
April,NA,NA,NA,Sikkim[edit]
May,NA,NA,NA,Sikkim[edit]
June,346,193,NA,Sikkim[edit]
July,186,201,NA,Sikkim[edit]
August,147,163,NA,Sikkim[edit]
September,106,209,NA,Sikkim[edit]
October,177,186,NA,Sikkim[edit]
November,223,157,NA,Sikkim[edit]
December,225,214,150,Sikkim[edit]
January,NA,194,176,Sikkim[edit]
February,222.35000000000002,183,145,Sikkim[edit]
March,213.66,189,160,Sikkim[edit]
April,NA,NA,NA,Tamil Nadu[edit]
May,NA,NA,NA,Tamil Nadu[edit]
June,4976,5881,NA,Tamil Nadu[edit]
July,4635,6084,NA,Tamil Nadu[edit]
August,5243,5973,NA,Tamil Nadu[edit]
September,6454,5616,NA,Tamil Nadu[edit]
October,6901,6109,NA,Tamil Nadu[edit]
November,7084,6449,NA,Tamil Nadu[edit]
December,6905,6422,5415,Tamil Nadu[edit]
January,NA,6703,6201,Tamil Nadu[edit]
February,7008.21,6427,5974,Tamil Nadu[edit]
March,7579.18,6178,6941,Tamil Nadu[edit]
April,NA,NA,NA,Telangana[edit]
May,NA,NA,NA,Telangana[edit]
June,3276,3166,NA,Telangana[edit]
July,2876,3163,NA,Telangana[edit]
August,2793,3059,NA,Telangana[edit]
September,2796,2854,NA,Telangana[edit]
October,3383,3230,NA,Telangana[edit]
November,3175,3349,NA,Telangana[edit]
December,3543,3420,3014,Telangana[edit]
January,NA,3787,3195,Telangana[edit]
February,3636.44,3667,3460,Telangana[edit]
March,4166.42,3563,3897,Telangana[edit]
April,NA,NA,NA,Tripura[edit]
May,NA,NA,NA,Tripura[edit]
June,65,58,NA,Tripura[edit]
July,48,49,NA,Tripura[edit]
August,43,58,NA,Tripura[edit]
September,50,52,NA,Tripura[edit]
October,57,54,NA,Tripura[edit]
November,58,51,NA,Tripura[edit]
December,74,59,48,Tripura[edit]
January,NA,56,52,Tripura[edit]
February,63.25,63,46,Tripura[edit]
March,87.9,67,64,Tripura[edit]
April,NA,NA,NA,Uttar Pradesh[edit]
May,NA,NA,NA,Uttar Pradesh[edit]
June,5194,5366,NA,Uttar Pradesh[edit]
July,5099,5422,NA,Uttar Pradesh[edit]
August,5098,4975,NA,Uttar Pradesh[edit]
