"","State","Year","Population","Pop Total","Population Proportion"
"1","Andaman and Nicobar Islands",1951,31000,361091000,8.58509350828462e-05
"2","Andhra Pradesh",1951,31115000,361091000,0.0861694143581535
"3","Arunachal Pradesh",1951,NA,361091000,NA
"4","Assam",1951,8029000,361091000,0.0222353921864572
"5","Bihar",1951,29085000,361091000,0.0805475628027284
"6","Chandigarh",1951,24000,361091000,6.6465240064139e-05
"7","Chhattisgarh",1951,7457000,361091000,0.0206513039649285
"8","Dadra and Nagar Haveli",1951,42000,361091000,0.000116314170112243
"9","Daman and Diu",1951,49000,361091000,0.00013569986513095
"10","Delhi",1951,1744000,361091000,0.00482980744466076
"11","Goa",1951,547000,361091000,0.00151485359646183
"12","Gujarat",1951,16263000,361091000,0.0450385082984622
"13","Haryana",1951,5674000,361091000,0.0157134905051635
"14","Himachal Pradesh",1951,2386000,361091000,0.00660775261637648
"15","Jammu and Kashmir",1951,3254000,361091000,0.00901157879869617
"16","Jharkhand",1951,9697000,361091000,0.0268547263709148
"17","Karnataka",1951,19402000,361091000,0.053731607821851
"18","Kerala",1951,13549000,361091000,0.0375223974012091
"19","Lakshadweep",1951,21000,361091000,5.81570850561216e-05
"20","Madhya Pradesh",1951,18615000,361091000,0.0515521018247478
"21","Maharashtra",1951,32003000,361091000,0.0886286282405266
"22","Manipur",1951,578000,361091000,0.00160070453154468
"23","Meghalaya",1951,606000,361091000,0.00167824731161951
"24","Mizoram",1951,196000,361091000,0.000542799460523801
"25","Nagaland",1951,213000,361091000,0.000589879005569233
"26","Odisha",1951,14646000,361091000,0.0405604127491408
"27","Puducherry",1951,317000,361091000,0.000877895045847169
"28","Punjab",1951,9161000,361091000,0.0253703360094824
"29","Rajasthan",1951,15971000,361091000,0.0442298478776818
"30","Sikkim",1951,138000,361091000,0.000382175130368799
"31","Tamil Nadu",1951,30119000,361091000,0.0834111068954917
"32","Tripura",1951,639000,361091000,0.0017696370167077
"33","Uttar Pradesh",1951,60274000,361091000,0.16692191165108
"34","Uttarakhand",1951,2946000,361091000,0.00815860821787306
"35","West Bengal",1951,26300000,361091000,0.0728348255702856
"36","Andaman and Nicobar Islands",1961,64000,439235000,0.000145707878470523
"37","Andhra Pradesh",1961,35983000,439235000,0.0819219779844502
"38","Arunachal Pradesh",1961,337000,439235000,0.000767243047571346
"39","Assam",1961,10837000,439235000,0.0246724418591415
"40","Bihar",1961,34841000,439235000,0.0793220030279918
"41","Chandigarh",1961,120000,439235000,0.00027320227213223
"42","Chhattisgarh",1961,9154000,439235000,0.0208407799924869
"43","Dadra and Nagar Haveli",1961,58000,439235000,0.000132047764863911
"44","Daman and Diu",1961,37000,439235000,8.42373672407709e-05
"45","Delhi",1961,2659000,439235000,0.00605370701332999
"46","Goa",1961,590000,439235000,0.00134324450465013
"47","Gujarat",1961,20633000,439235000,0.0469748540075358
"48","Haryana",1961,7591000,439235000,0.0172823203979646
"49","Himachal Pradesh",1961,2812000,439235000,0.00640203991029859
"50","Jammu and Kashmir",1961,3561000,439235000,0.00810727742552392
"51","Jharkhand",1961,11606000,439235000,0.0264232130863888
"52","Karnataka",1961,23587000,439235000,0.0537001832731909
"53","Kerala",1961,16904000,439235000,0.0384850934010268
"54","Lakshadweep",1961,24000,439235000,5.4640454426446e-05
"55","Madhya Pradesh",1961,23218000,439235000,0.0528600862863843
"56","Maharashtra",1961,39554000,439235000,0.0900520222659852
"57","Manipur",1961,780000,439235000,0.00177581476885949
"58","Meghalaya",1961,769000,439235000,0.00175077122724737
"59","Mizoram",1961,266000,439235000,0.00060559836989311
"60","Nagaland",1961,369000,439235000,0.000840096986806607
"61","Odisha",1961,17549000,439235000,0.0399535556137375
